Distrito,Candidato,Partido,Pacto,Votos,%,Resultado,Año
32,Julio Ugas Pulgar,PCCh,La Izquierda,5914,"7,24",,1997
32,Iñaki Busto Berasaluce,UDI,Unión por Chile,4405,"5,4",,1997
32,Mónica Riveros Aguilar,PH,Partido Humanista,1243,"1,52",,1997
32,Guido Oyarzún Gordoniz,PH,Partido Humanista,1225,"1,5",,1997
32,Felipe Buamscha Salvador,UCCP,Chile 2000,425,"0,52",,1997
33,Juan Pablo Letelier Morel,PS,Concertación por la Democracia,58 710,"57,58",Diputado,1997
33,Juan Esteban Montero Matta,UDI,Unión por Chile,12 094,"11,86",,1997
33,Ricardo Rincón González,PDC,Concertación por la Democracia,8911,"8,74",Diputado,1997
33,Ana María Cádiz Whipple,UCCP,Chile 2000,7642,"7,49",,1997
33,Felipe Guevara Stephens,RN,Unión por Chile,5435,"5,33",,1997
33,Mario Ibarra Contreras,PCCh,La Izquierda,3624,"3,55",,1997
33,Robin Maclean Boyd,UCCP,Chile 2000,2119,"2,08",,1997
33,Rafael Canto Escobar,PH,Partido Humanista,1538,"1,51",,1997
33,Luis Enrique Jiménez Pizarro,ILD,La Izquierda,1074,"1,05",,1997
33,José Ramón Riquelme Riquelme,PH,Partido Humanista,831,"0,81",,1997
34,Juan Ramón Núñez Valenzuela,PDC,Concertación por la Democracia,18 071,"22,39",Diputado,1997
34,Sergio Morales Morales,PRSD,Concertación por la Democracia,15 768,"19,54",,1997
34,Juan Masferrer Pellizzari,UDI,Unión por Chile,15 251,"18,9",Diputado,1997
34,Gustavo Valderrama Calvo,ILB,Unión por Chile,12 778,"15,83",,1997
34,Jorge Andrés Mayol Bouchon,ILE,Chile 2000,8022,"9,94",,1997
34,Silvia Costa Espinoza,PCCh,La Izquierda,6959,"8,62",,1997
34,Osvaldo Ferrada Barría,ILE,Chile 2000,1411,"1,75",,1997
34,Silvia Zamorano San Martín,PH,Partido Humanista,1389,"1,72",,1997
34,Alberto Vega Nuñez,PH,Partido Humanista,1061,"1,31",,1997
35,José Melgarejo Olguín,PH,Partido Humanista,727,"1,08",,1997
35,Andrés Leal Alvarado,PH,Partido Humanista,630,"0,93",,1997
35,Ramón Barros Montero,UDI,Unión Por Chile,4971,"7,35",,1997
35,José María Hurtado Ruiz-Tagle,RN,Unión Por Chile,6765,10,,1997
35,Rafael Arratia Valdebenito,PDC,Concertación por la Democracia,19 347,"28,61",Diputado,1997
35,Mauricio Salinas Escobar,PPD,Concertación por la Democracia,8198,"12,12",,1997
35,Patricio Martínez Amaya,PCCh,La Izquierda,2608,"3,86",,1997
35,María Victoria Ovalle Ovalle,UCCP,Chile 2000,16 170,"23,91",Diputada,1997
35,Roberto Michelini Pandolfi,ILE,Chile 2000,8206,"12,14",,1997
36,Roberto León Ramírez,PDC,Concertación por la Democracia,29 925,"29,84",Diputado,1997
36,Sergio Correa de la Cerda,UDI,Unión por Chile,20 110,"20,05",Diputado,1997
36,Sergio Monsalve Vergara,PS,Concertación por la Democracia,17 357,"17,31",,1997
36,Jorge Barrientos Maturana,ILE,Chile 2000,12 021,"11,99",,1997
36,Mario Correa Prado,ILE,Chile 2000,7815,"7,79",,1997
36,José Antonio Arellano Lynch,RN,Unión por Chile,7375,"7,35",,1997
36,Oscar Moya Muñoz,PCCh,La Izquierda,4495,"4,48",,1997
36,Manuel Cabrera García,PH,Partido Humanista,1187,"1,18",,1997
37,Sergio Aguiló Melo,PS,Concertación por la Democracia,37 649,"52,03",Diputado,1997
37,Homero Gutiérrez Román,PDC,Concertación por la Democracia,10 616,"14,67",Diputado,1997
37,César Muñoz Vergara,UDI,Unión por Chile,10 348,"14,3",,1997
37,Hernán Calderón Salinas,ILB,Unión por Chile,9995,"13,81",,1997
37,Edgardo Cáceres Muñoz,PCCh,La Izquierda,2632,"3,64",,1997
37,Raúl Ahumada Zúñiga,PH,Partido Humanista,750,"1,04",,1997
37,Miguel Hermosilla Arévalo,ILD,La Izquierda,365,"0,5",,1997
38,Pedro Álvarez-Salamanca Buchi,RN,Unión por Chile,21 015,"32,42",Diputado,1997
