Distrito ,parlamentario/a,coalición ,partido político ,votos obtenidos,% obtenido ,año elección ,región 
17[d],Pedro Álvarez-Salamanca Ramírez,ChV,UDI,20 541,"8,40 %",2017,
17[d],Hugo Rey Martínez,ChV,RN,20 517,"8,37 %",2017,
17[d],Pablo Prieto Lorca,ChV,Ind-RN,14 338,"5,87 %",2017,
17[d],Alexis Sepúlveda Soto,LFM,PRSD,18 390,"7,52 %",2017,
17[d],Pablo Lorenzini Basso,CODE,DC,19 884,"8,14 %",2017,
17[d],Florcita Alarcón Rojas,FA,PH,6482,"2,68 %",2017,
18[d],Ignacio Urrutia Bonilla,ChV,UDI,17 739,"14,76 %",2017,
18[d],Rolando Rentería Moller,ChV,UDI,16 715,"13,78 %",2017,
18[d],Manuel Matta Aragay,CODE,DC,12 825,"10,63 %",2017,
18[d],Jaime Naranjo Ortiz,LFM,PS,13 390,"11,08 %",2017,
19[d],Frank Sauberbaum Muñoz,ChV,RN,18 107,"9,35 %",2017,
19[d],Gustavo Sanhueza Dueñas,ChV,UDI,15 680,"8,08 %",2017,
19[d],Carlos Abel Jarpa Wevar,LFM,PRSD,15 377,"7,93 %",2017,
19[d],Loreto Carvajal Ambiado,LFM,PPD,12 734,"6,57 %",2017,
19[d],Jorge Sabag Villalobos,CODE,DC,28 995,"14,95 %",2017,
20[d],Enrique van Rysselberghe Herrera,ChV,UDI,28 757,"8,54 %",2017,
20[d],Sergio Bobadilla Muñoz,ChV,UDI,18 432,"5,47 %",2017,
20[d],Francesca Muñoz González,ChV,RN,23 165,"6,86 %",2017,
20[d],Leonidas Romero Sáez,ChV,RN,11 414,"3,38 %",2017,
20[d],Gastón Saavedra Chandía,LFM,PS,30 557,"9,05 %",2017,
20[d],Jaime Tohá González,LFM,PS,8145,"2,41 %",2017,
20[d],José Miguel Ortiz Novoa,CODE,DC,29 496,"8,74 %",2017,
20[d],Félix González Gatica,FA,PEV,18 397,"5,45 %",2017,
21[d],Iván Norambuena Farías,ChV,UDI,33 261,"17,42 %",2017,
21[d],Cristóbal Urruticoechea Ríos,ChV,RN,22 190,"11,63 %",2017,
21[d],José Pérez Arriagada,LFM,PR,27 066,"14,21 %",2017,
21[d],Manuel Monsalve Benavides,LFM,PS,19 632,"10,30 %",2017,
21[d],Joanna Pérez Olea,CODE,DC,12 035,"6,26 %",2017,
22[d],Diego Paulsen Kehr,ChV,RN,24 405,"22,49 %",2017,
22[d],Jorge Rathgeb Schifferli,ChV,RN,21 594,"19,87 %",2017,
22[d],Andrea Parra Sauterel,LFM,PPD,10 312,"9,54 %",2017,
22[d],Mario Venegas Cárdenas,CODE,DC,14 991,"13,86  %",2017,
23[d],René Manuel García García,ChV,RN,23 118,"10,28 %",2017,
23[d],Miguel Mellado Suazo,ChV,RN,13 708,"6,10 %",2017,
23[d],Andrés Molina Magofke,ChV,EVOP,23 927,"10,64 %",2017,
23[d],Sebastián Álvarez Ramírez,ChV,EVOP,5319,"2,37 %",2017,
23[d],Ricardo Celis Araya,LFM,PPD,16 335,"7,27 %",2017,
23[d],Fernando Meza Moncada,LFM,PR,13 696,"6,05 %",2017,
23[d],René Saffirio Espinoza,IND,Ind,38 578,"17,15 %",2017,
24[d],Bernardo Berger Fett,ChV,RN,24 070,"17,29 %",2017,
24[d],Gastón Von Mühlenbrock Zamora,ChV,UDI,12 542,"9,00 %",2017,
24[d],Marcos Ilabaca Cerda,LFM,PS,15 739,"11,29 %",2017,
24[d],Patricio Rosas Barrientos,LFM,PS,13 379,"9,54 %",2017,
24[d],Iván Flores García,CODE,DC,13 242,"9,50 %",2017,
25[d],Harry Jürgensen Rundshagen,ChV,RN,20 531,"15,76 %",2017,
25[d],Javier Hernández Hernández,ChV,UDI,16 367,"12,58 %",2017,
25[d],Fidel Espinoza Sandoval,LFM,PS,27 999,"21,54 %",2017,
25[d],Emilia Nuyado Ancapichún,LFM,PS,8149,"6,27 %",2017,
26[d],Alejandro Santana Tirachini,ChV,RN,23 558,"17,10 %",2017,
26[d],Carlos Kuschel Silva,ChV,RN,11 250,"8,17 %",2017,
26[d],Jenny Álvarez Vera,LFM,PS,10 162,"7,38 %",2017,
26[d],Alejandro Bernales Maldonado,FA,PL,6200,"4,50 %",2017,
26[d],Gabriel Ascencio Mansilla,CODE,DC,9 326,"6,78 %",2017,
27[d],René Alinco Bustos,LFM,Ind-PPD,3121,"8,85 %",2017,
27[d],Miguel Ángel Calisto Águila,CODE,DC,8822,"24,96 %",2017,
27[d],Aracely Leuquén Uribe,ChV,RN,3925,"11,16 %",2017,
28[d],Gabriel Boric Font,FA,Ind-PH,18 626,"32,82 %",2017,
28[d],Karim Bianchi Retamales,LFM,Ind-PR,4190,"7,38 %",2017,
28[d],Sandra Amar Mancilla,ChV,Ind-UDI,6871,"12,08 %",2017,
1[d],Vlado Mirosevic Verdugo,NPS,PL,16 819,"20,91 %",2021,
1[d],Luis Malla Valenzuela,NPS,PL,2699,"3,36 %",2021,
1[d],Enrique Lee Flores,ChP+,Ind-PRI,7 321,"9,10 %",2021,
2[d],Renzo Trisotti Martínez,ChP+,UDI,11 079,"11,07 %",2021,
2[d],Matías Ramírez Pascal,AD,PCCh,9861,"9,86 %",2021,
2[d],Danisa Astudillo Peiretti,NPS,PS,7565,"7,56 %",2021,
3[d],Catalina Pérez Salinas,AD,RD,13 197,"7,24 %",2021,
3[d],Sebastián Videla Castillo,NPS,Ind-PL,12 238,"6,72 %",2021,
3[d],Jaime Araya Guerrero,NPS,Ind-PPD,11 603,"6,37 %",2021,
3[d],Yovana Ahumada Palma,PDG,PDG,11 851,"6,51 %",2021,
3[d],José Miguel Castro Bascuñán,ChP+,RN,8654,"4,75 %",2021,
4[d],Daniella Cicardini Milla,NPS,PS,16 149,"16,35 %",2021,
4[d],Juan Santana Castillo,NPS,PS,13 445,"13,61 %",2021,
4[d],Cristian Tapia Ramos,NPS,Ind-PPD,6291,"6,37 %",2021,
4[d],Jaime Mulet Martínez,AD,FRVS,8069,"8,17 %",2021,
4[d],Sofía Cid Versalovic,ChP+,RN,5041,"6,68 %",2021,
5[d],Marco Sulantay Olivares,ChP+,UDI,18 293,"11,77 %",2021,
5[d],Juán Manuel Fuenzalida Cobo,ChP+,UDI,9312,"3,93 %",2021,
5[d],Nathalie Castillo Rojas,AD,PCCh,12 297,"5,19 %",2021,
5[d],Carolina Tello Rojas,AD,PCCh,12 228,"5,16 %",2021,
5[d],Daniel Manouchehri Lobos,NPS,PS,12 268,"5,18 %",2021,
