Distrito;Candidato;Partido;Pacto;Votos;%;Resultado;Año
3;64. YANTIEL CALDERON VALENZUELA;EVOP;AA. Chile Podemos +;1734;0,95%;;2021
3;65. SACHA RAZMILIC BURGOS;EVOP;AA. Chile Podemos +;9230;5,06%;;2021
3;66. YOVANA ALEJANDRA AHUMADA PALMA;PDG;AB. Partido de la Gente;11850;6,50%;Diputado;2021
3;67. NARGARET VIKI CRISTI CARIAGA;PDG;AB. Partido de la Gente;5015;2,75%;;2021
3;68. CESAR ANTONIO ROJAS TORO;PDG;AB. Partido de la Gente;9332;5,12%;;2021
3;69. YERKO ALEXIS CORTES ROJAS;PDG;AB. Partido de la Gente;4739;2,60%;;2021
3;70. OMAR PAUL HEINER REESE ERICES;PDG;AB. Partido de la Gente;2814;1,54%;;2021
3;71. LESTER PATRICIO CALDERON HERNANDEZ;PTR;AE. Partido de Trabajadores Revolucionarios;3244;1,78%;;2021
3;72. KARLA JACQUELINE PERALTA DIAZ;PTR;AE. Partido de Trabajadores Revolucionarios;944;0,52%;;2021
3;73. DANIEL ANDRES VARGAS DOWNING;PTR;AE. Partido de Trabajadores Revolucionarios;1956;1,07%;;2021
3;74. NATHALY PAZ FLORES TORRES;PTR;AE. Partido de Trabajadores Revolucionarios;669;0,37%;;2021
3;75. NESTOR LUIS VERA ROJAS;PTR;AE. Partido de Trabajadores Revolucionarios;1097;0,60%;;2021
3;76. DANIELA BEATRIZ AVILES HONORES;PTR;AE. Partido de Trabajadores Revolucionarios;757;0,42%;;2021
3;77. CLAUDIA MARCELA ARDILES TAGLE;PR;AH. Nuevo Pacto Social;3057;1,68%;;2021
3;78. CELIE RENEE ARAYA ESCOBAR;IND-CIU;AH. Nuevo Pacto Social;1346;0,74%;;2021
3;79. ARTURO MOLINA HENRIQUEZ;PDC;AH. Nuevo Pacto Social;7627;4,19%;;2021
3;80. SEBASTIAN PATRICIO VIDELA CASTILLO;IND-PL;AH. Nuevo Pacto Social;12238;6,72%;Diputado;2021
3;81. JAIME ARAYA GUERRERO;IND-PPD;AH. Nuevo Pacto Social;11619;6,38%;Diputado;2021
3;82. PAULA NIEVAS SILVA;PS;AH. Nuevo Pacto Social;1487;0,82%;;2021
3;83. YESEBEL CASTILLO PANIAGUA;PI;AN. Dignidad Ahora;1206;0,66%;;2021
3;84. SERGIO LUIS CUBILLOS VERASAY;IND-PI;AN. Dignidad Ahora;1550;0,85%;;2021
