Distrito,parlamentario/a,coalición,partido político,Votos obtenidos ,% obtenido,año elección
51,Eugenio Tuma Zedan,Concertación,Partido por la Democracia ,32590,"49,28%",2005
51,Eduardo Díaz del Río,Concertación,Democracia Cristiana ,10511,"15,89%",2005
52,Fernando Meza Moncada,Concertación,Partido Radical,25000,"38,15%",2005
52,René Manuel García García,Alianza,Renovación Nacional,24453,"37,32%",2005
53,Alfonso de Urresti Longton,Concertación,Partido Socialista,23506,"28,29%",2005
53,Roberto Delmastro Naso,Alianza,Renovación Nacional,22046,"26,53%",2005
54,Enrique Jaramillo Becker,Concertación,Partido por la Democracia ,31815,"41,11%",2005
54,Gastón von Mühlenbrock Zamora,Alianza,Unión Demócrata Independiente,21751,"28,10%",2005
55,Sergio Ojeda Uribe,Concertación,Democracia Cristiana ,29199,"37,43%",2005
55,Javier Hernández Hernández,Alianza,Unión Demócrata Independiente,21454,"27,50%",2005
56,Fidel Espinoza Sandoval,Concertación,Partido Socialista,30452,"41,59%",2005
56,Carlos Recondo Lavanderos,Alianza,Unión Demócrata Independiente,19068,"26,04%",2005
57,Marisol Turres Figueroa,Alianza,Unión Demócrata Independiente,22614,"26,66%",2005
57,Patricio Vallespin López,Concertación,Democracia Cristiana ,22322,"26,31%",2005
58,Gabriel Ascencio Mansilla,Concertación,Democracia Cristiana ,26088,"35,94%",2005
58,Claudio Alvarado Andrade,Alianza,Unión Demócrata Independiente,18043,"24,85%",2005
59,René Alinco Bustos,Concertación,Partido por la Democracia ,13307,"33,70%",2005
59,Pablo Galilea Carrillo,Alianza,Renovación Nacional,12750,"32,29%",2005
60,Carolina Goic Boroevic,Concertación,Democracia Cristiana ,17766,"27,10%",2005
60,Rodrigo Álvarez Zenteno,Alianza,Unión Demócrata Independiente,15876,"24,22%",2005
1,Orlando Vargas Pizarro,Concertación,Partido por la Democracia ,22425,"30,01%",2009
1,Nino Baltolú Rasera,Alianza,Unión Demócrata Independiente,17644,"23,61%",2009
2,Hugo Gutiérrez Gálvez,Concertación,Partido Comunista,28217,"30,31%",2009
2,Marta Isasi Barbieri,Alianza,Unión Demócrata Independiente,28884,"31,02%",2009
3,Felipe Ward Edwards,Alianza,Unión Demócrata Independiente,24618,"37,36%",2009
3,Marcos Espinosa Monardes,Concertación,Partido Radical,16223,"24,62%",2009
4,Pedro Araya Guerrero,Chile Limpio. Vote Feliz,Partido Regionalista de los Independientes,27268,"24,60%",2009
4,Manuel Rojas Molina,Alianza,Unión Demócrata Independiente,37241,"33,59%",2009
5,Lautaro Carmona Soto,Concertación,Partido Comunista,17022,"27,87%",2009
5,Carlos Vilches Guzmán,Alianza,Unión Demócrata Independiente,13159,"21,55%",2009
6,Giovanni Calderón Bassi,Alianza,Unión Demócrata Independiente,8330,"19,26%",2009
6,Alberto Robles Pantoja,Concertación,Partido Radical,11582,"26,77%",2009
7,Marcelo Díaz Díaz,Concertación,Partido Socialista,32673,"36,74%",2009
7,Mario Bertolino Rendic,Alianza,Renovación Nacional,18037,"20,28%",2009
8,Matías Walker Prieto,Concertación,Democracia Cristiana ,28948,"27,21%",2009
8,Pedro Velásquez Seguel,Independiente,Independiente.,25919,"24,37%",2009
9,Adriana Muñoz D'Albora,Concertación,Partido por la Democracia ,15332,"25,29%",2009
9,Luis Lemus Aracena,Chile Limpio. Vote Feliz,Partido Regionalista de los Independientes,15735,"25,95%",2009
10,Eduardo Cerda García,Concertación,Democracia Cristiana ,30017,"21,94%",2009
10,Andrea Molina Oliva,Alianza,Unión Demócrata Independiente,36000,"26,31%",2009
11,Gaspar Rivas Sánchez,Alianza,Renovación Nacional,21634,"20,22%",2009
11,Marco Antonio Núñez Lozano,Concertación,Partido por la Democracia ,49801,"46,55%",2009
